"ID","POINT_X","POINT_Y","SCIENTIFIC","ADDRESS","PLOTTYPE","PLOTLENGTH","PLOTWIDTH","POWERLINE","OWNER","STEWARD","SPONSOR","DATEPLANTED","DIAMETER","HEIGHT","CANOPYHEIGHT","CONDITION","CANOPYCONDITION"
359,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
360,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
361,-82.53,35.55,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
371,-82.53,35.54,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
375,-82.53,35.54,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
384,-82.53,35.54,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
385,-82.53,35.54,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
395,-82.53,35.54,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
398,-82.53,35.54,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
399,-82.53,35.54,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
496,-82.52,35.53,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
497,-82.52,35.53,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
515,-82.52,35.53,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
559,-82.52,35.54,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
601,-82.52,35.53,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
613,-82.52,35.50,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
638,-82.52,35.50,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,0.00,0.00,0,Unknown,Unknown
647,-82.52,35.50,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,13.00,30.00,0,Unknown,Unknown
648,-82.52,35.50,Unknown,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,10.00,28.00,0,Unknown,Unknown
